City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
High Level,58.52,-117.13,12.2,92,75,2.24
Nuuk,64.17,-51.74,17.6,78,12,20.8
Matara,-13.74,-72.9,44.71,97,92,1.7
Skibbereen,51.55,-9.27,46.4,93,75,6.93
Moron,10.49,-68.2,64.06,94,12,2.37
Beloha,-25.17,45.06,73.87,96,100,11.65
Dublin,53.35,-6.26,46.4,93,75,16.11
Ovalle,-30.6,-71.2,57.49,90,0,2.71
Krasnoarmeysk,56.12,38.15,13.06,85,88,11.18
Camocim,-2.9,-40.84,75.71,99,92,3.6
Japura,-0.42,102.29,79.76,85,24,2.82
Khorixas,-20.37,14.96,46.28,83,0,1.81
Manzil Salim,35.86,8.48,32.0,85,75,11.41
Bilibino,68.06,166.44,-20.95,59,12,2.71
Cristesti,46.5,24.48,24.8,85,92,5.82
Baykit,61.68,96.39,-17.49,73,32,2.93
Mareeba,-16.99,145.42,78.8,88,90,16.11
Maniitsoq,65.42,-52.9,5.83,100,0,8.75
Icod de los Vinos,28.37,-16.71,58.46,76,0,10.29
Arandis,-22.42,14.98,53.44,91,20,2.15
Luwuk,-0.95,122.79,82.96,100,8,2.15
Yangambi,0.77,24.47,71.93,91,56,1.25
Mayo,63.59,-135.9,-22.01,74,90,2.48
Bonthe,7.53,-12.5,79.27,85,0,4.94
Raudeberg,61.99,5.14,37.4,86,76,12.75
Esil,51.96,66.41,-6.19,72,48,8.86
Doctor Juan Leon Mallorquin,-25.4,-55.27,73.4,88,75,12.75
